Disease,Description
Common_Cold,"A viral infection of the upper respiratory tract causing symptoms like a runny nose, sore throat, and cough."
Flu,"An influenza virus infection characterized by fever, headache, muscle aches, and fatigue."
Allergies,"An immune response to allergens resulting in symptoms such as sneezing, itching, and runny nose."
Migraine,"A type of headache that is often accompanied by nausea, vomiting, and sensitivity to light and sound."
Stomach_Bug,"A gastrointestinal infection causing nausea, vomiting, diarrhea, and abdominal pain."
Tension_Headache,"A common type of headache that causes a dull, aching pain and pressure around the forehead."
Sinusitis,"An inflammation or infection of the sinuses leading to facial pain, nasal congestion, and sinus pressure."
Bronchitis,"Inflammation of the bronchial tubes resulting in cough, mucus production, and difficulty breathing."
Pneumonia,"An infection of the lungs causing symptoms such as chest pain, cough, and shortness of breath."
Asthma,"A chronic respiratory condition characterized by wheezing, shortness of breath, and coughing."
GERD,"Gastroesophageal reflux disease causing acid reflux, heartburn, and discomfort in the chest."
Ulcer,"A sore on the lining of the stomach or intestines, often causing abdominal pain and digestive issues."
Appendicitis,"Inflammation of the appendix leading to severe abdominal pain, nausea, and vomiting."
Kidney_Stones,"Hard deposits in the kidneys causing severe pain, especially in the lower back and abdomen."
Urinary_Tract_Infection,"An infection in any part of the urinary system, including the bladder, urethra, or kidneys, causing painful urination and frequent urges."
Arthritis,"Inflammation of the joints leading to pain, swelling, and stiffness."
Fibromyalgia,"A condition characterized by widespread musculoskeletal pain, fatigue, and tenderness in localized areas."
Depression,"A mental health disorder causing persistent feelings of sadness, loss of interest, and other emotional and physical symptoms."
Anxiety,"A mental health condition marked by excessive worry, fear, and anxiety that interferes with daily activities."
Heart_Disease,"A range of conditions affecting the heart, including coronary artery disease, heart attacks, and heart failure."
Diabetes,"A chronic condition where the body does not properly process food for use as energy, resulting in high blood sugar levels."
Hypothyroidism,"A condition where the thyroid gland is underactive, leading to fatigue, weight gain, and cold intolerance."
Anemia,"A condition characterized by a deficiency of red blood cells or hemoglobin, causing fatigue and weakness."
Mononucleosis,"A viral infection causing symptoms like sore throat, fever, and swollen lymph nodes."
Lyme_Disease,"An infection transmitted by ticks, causing symptoms such as rash, fever, and joint pain."
